title,text,label
Fake cure claim,Government has approved a miracle cure that works in 2 days without clinical trials,0
Celebrity hoax,Famous actor declared alive after being reported dead officially,0
Election fraud,Millions of fake votes added overnight using hacked machines,0
Fake job alert,Company offering jobs without interview asking registration fee,0
Health misinformation,Drinking hot water cures all diseases experts say,0
Crypto scam,Cryptocurrency guarantees 500 percent return in one week,0
Fake exam news,Board exams cancelled permanently students promoted,0
Fake disaster,Meteor will hit earth tonight government hiding truth,0
Fake banking alert,Bank account blocked click link to verify immediately,0
Fake tech news,Mobile phones explode if charged overnight scientists warn,0
Fake govt scheme,Government giving 5 lakh to every citizen register now,0
Fake pandemic news,Virus spreads through mobile signals experts confirm,0
Fake paper leak,Question paper leaked on WhatsApp join group now,0
Fake celebrity arrest,Popular singer arrested for secret crime leaked,0
Fake farming advice,Crops grow double if watered with salt solution,0
Fake stock tip,Stock will double tomorrow guaranteed insiders say,0
Fake ration news,Ration free forever from next month government order,0
Fake education alert,University degree not required for jobs now fake notice,0
Fake travel warning,Flights banned permanently starting tonight rumors say,0
Fake AI threat,AI will control humans by next year leaked report,0
Fake weather news,Snowfall expected in desert regions tomorrow,0
Fake tax news,Income tax cancelled for middle class permanently,0
Fake currency news,New notes invalid from tonight exchange immediately,0
Fake phone scam,OTP shared once gives lifetime rewards fake message,0
Fake loan offer,Instant loan without documents approved in 2 minutes,0
Fake police notice,Police asking fines via WhatsApp link,0
Fake medical advice,Eating raw garlic cures cancer fully,0
Fake job exam news,Government exams postponed for 5 years officially fake,0
Fake space news,Aliens contacted earth government hiding truth,0
Fake fuel news,Petrol will be free next month government order,0
Fake education policy,Schools closed permanently after new policy,0
Fake transport news,All trains cancelled from tomorrow fake circular,0
Fake army news,Army recruitment without fitness test announced fake,0
Fake scholarship,Scholarship for everyone without criteria register now,0
Fake election result,Party wins election before counting fake result,0
Fake banking offer,Bank doubling savings automatically fake claim,0
Fake vaccine news,Vaccine causes magnetism fake viral claim,0
Fake internet shutdown,Internet banned permanently starting midnight,0
Fake tech ban,All social media banned from tomorrow fake notice,0
Fake power cut,Electricity free forever from today fake message,0
Fake gold scheme,Government giving free gold register today,0
Fake mobile recharge,Free unlimited recharge by clicking link,0
Fake court order,High court bans exams fake circular,0
Fake food scare,Rice causes instant illness fake warning,0
Fake water alert,Tap water poisonous tonight fake message,0
Fake gas leak,Gas cylinders exploding nationwide fake rumor,0
Fake tsunami alert,Tsunami warning issued fake viral audio,0
Fake salary hike,All govt employees salary doubled fake news,0
Fake loan waiver,All loans waived instantly fake message,0
Fake bank merger,Banks shutting down tomorrow fake alert,0
Fake school exam leak,Exam answers leaked on Telegram fake claim,0
Fake phone tracking,Phones tracking users illegally fake rumor,0
Fake SIM ban,SIM cards invalid from tomorrow fake message,0
Fake education loan,Education loans free now fake news,0
Fake passport rule,Passport not needed for travel fake news,0
Fake railway offer,Free train tickets for everyone fake scheme,0
Fake cyber warning,Hackers stealing money via missed calls fake rumor,0
Fake weather control,Government controlling rain using machines fake,0
Fake oxygen crisis,Oxygen shortage panic fake message,0
Fake lockdown news,Lockdown starting tonight fake rumor,0
Fake exam pattern,Exam pattern changed overnight fake circular,0
Fake result leak,Exam results leaked early fake message,0
Fake admission notice,Admissions confirmed without exam fake notice,0
Fake teacher recruitment,Teacher jobs without qualification fake news,0
Fake electricity bill,Electricity bills waived fake news,0
Fake traffic fine,Traffic fines doubled overnight fake claim,0
Fake vehicle ban,Petrol vehicles banned fake circular,0
Fake farming subsidy,Subsidy credited automatically fake message,0
Fake college holiday,Colleges closed tomorrow fake notice,0
Fake festival ban,Festival celebrations banned fake rumor,0
Fake police recruitment,Police jobs without test fake scheme,0
Fake bank interest,Bank interest doubled instantly fake claim,0
Fake RBI notice,RBI banning cash fake news,0
Fake mobile app,App pays money daily fake claim,0
Fake exam syllabus,Syllabus reduced to zero fake notice,0
Fake govt ID rule,ID card mandatory everywhere fake claim,0
Fake internet reward,Free data for lifetime fake offer,0
Fake hospital warning,Hospitals closed permanently fake news,0
Fake airline refund,Airlines refund all tickets fake message,0
Fake job training,Training guarantees job fake scheme,0
Fake visa news,Visa free for all countries fake rumor,0
Fake phone tax,Phone usage taxed fake news,0
Fake exam cancellation,All exams cancelled fake viral news,0
Fake salary credit,Extra salary credited fake message,0
Fake power shortage,Power outage nationwide fake news,0
Fake scholarship deadline,Last day today fake urgency message,0
Fake emergency alert,Emergency declared fake message,0
Fake medical camp,Free surgery camp fake announcement,0
Fake agriculture ban,Fertilizers banned fake news,0
Fake bus strike,Bus services stopped fake news,0
Fake metro free,Metro rides free fake message,0
Fake court verdict,Court abolishes exams fake claim,0
Fake census news,Census cancelled permanently fake news,0
Fake fuel price,Petrol price zero fake claim,0
Fake GST removal,GST removed fake viral news,0
Fake income scheme,Monthly income without work fake scheme,0
Fake loan message,Loan approved without application fake,0
Fake education reform,Degrees removed fake policy,0
Fake phone update,Update steals data fake rumor,0
Fake internet bill,Internet bills waived fake claim,0
Fake ration alert,Ration stopped fake message,0
Fake bank OTP,Bank OTP gives cashback fake,0
Fake train accident,Major train accident fake rumor,0
Fake hospital fees,Hospital fees doubled fake claim,0
Fake AI job loss,AI removes all jobs fake report,0
Fake exam marking,Negative marks removed fake notice,0
Fake weather weapon,Rain weapon used fake claim,0
Fake school admission,Admission guaranteed fake news,0
Fake police fine,Police fine via UPI fake,0
Fake medical test,Test cures disease fake claim,0
Fake food shortage,Food shortage fake panic message,0
Fake electricity theft,Electricity theft legal fake rumor,0
Fake bus free,Free buses nationwide fake claim,0
Fake college degree,Degrees sold online fake ad,0
Fake water shortage,Water shortage fake warning,0
Fake fuel rationing,Fuel rationing fake alert,0
Fake airline shutdown,Airlines shut fake rumor,0
Fake court holiday,Courts closed fake notice,0
Fake govt app,App gives money fake,0
Fake scholarship credit,Scholarship credited fake SMS,0
Fake exam revaluation,Marks doubled fake message,0
Fake hospital alert,Hospitals unsafe fake message,0
Fake police curfew,Curfew announced fake message,0
Fake job joining,Joining letter fake scam,0
Fake internet ban,Internet banned fake alert,0
Fake campus placement,Placement guaranteed fake claim,0
Fake vaccine ban,Vaccines banned fake news,0
RBI policy update,RBI announces repo rate change to control inflation,1
Election results,Official election commission releases verified results,1
Govt scheme launch,Government launches new scholarship scheme,1
Sports achievement,Indian team wins international tournament,1
Health advisory,WHO issues updated health guidelines,1
Tech launch,Company launches new secure smartphone,1
Weather update,IMD issues heavy rainfall warning,1
Education notice,University announces exam schedule officially,1
Economic report,Finance ministry releases growth report,1
Banking update,Bank launches new digital services,1
Agriculture support,Government increases MSP for farmers,1
Employment news,IT companies announce hiring drive,1
Space research,ISRO successfully launches satellite,1
Medical breakthrough,Scientists publish peer reviewed study,1
Public safety advisory,Police issue traffic advisory,1
text,label
Government announces new education policy for digital learning,1
RBI increases repo rate to manage inflation in India,1
ISRO successfully launches weather monitoring satellite,1
Supreme Court issues new guidelines on road safety,1
Indian Railways introduces new Vande Bharat trains,1
Parliament passes bill on data protection law,1
India signs renewable energy agreement with Germany,1
Election Commission announces dates for state elections,1
WHO releases new vaccination advisory for children,1
Indian economy shows steady GDP growth this quarter,1
NASA confirms discovery of water traces on Mars,1
Government launches new startup funding scheme,1
SEBI tightens regulations for stock market investors,1
Ministry of Health launches nationwide vaccination drive,1
India wins bilateral trade talks with Australia,1
New metro rail project approved in major cities,1
Government increases minimum wage for workers,1
IMD predicts heavy rainfall in southern states,1
Indian cricket team wins international test series,1
Supreme Court orders reforms in prison system,1
New AI policy announced by central government,1
Indian scientists develop low-cost cancer detection tool,1
Railway budget focuses on safety and modernization,1
Education board releases exam timetable officially,1
Finance ministry announces tax relief for middle class,1
Government approves pension hike for senior citizens,1
India successfully hosts global economic summit,1
National highway expansion project inaugurated,1
ISRO plans human space mission by next decade,1
New cyber security rules announced for companies,1
Government releases unemployment survey report,1
Indian banks report increase in digital transactions,1
Supreme Court upholds constitutional amendment,1
New research center for climate studies inaugurated,1
Indian agriculture output increases this season,1
Central government announces housing scheme,1
Health ministry issues dengue prevention advisory,1
India ranks higher in global innovation index,1
Government launches free skill training program,1
New renewable energy plant opens in Rajasthan,1
India signs defense cooperation agreement,1
Indian startups receive record funding this year,1
Public sector banks report profit growth,1
Supreme Court issues verdict on electoral bonds,1
New public transport policy announced,1
Government launches women safety mobile app,1
Indian students win international science competition,1
Indiaâ€™s export numbers show positive trend,1
Government expands digital India initiative,1
New vaccination research shows promising results,1

Aliens secretly controlling Indian government says viral post,0
Government giving free money if you register today,0
Scientists confirm earth will end next month,0
Drinking salt water cures all diseases instantly,0
WhatsApp message claims ATM will close forever,0
Celebrities endorse fake investment app online,0
Eating chocolate daily guarantees weight loss,0
Government bans all mobile phones from tomorrow,0
NASA says sun will explode next week,0
Fake website claims instant loan without documents,0
New virus spreads through mobile network signals,0
Government giving 50000 rupees to every citizen,0
Drinking lemon cures cancer completely,0
Aliens spotted in Indian sky shared on social media,0
Election cancelled due to secret government order,0
Fake message claims Aadhaar cards are invalid now,0
Scientists say sleeping less makes you smarter,0
Drinking hot water kills coronavirus instantly,0
WhatsApp forward says petrol will be free tomorrow,0
Government secretly removes currency notes,0
Mobile radiation causes instant brain damage,0
Eating one fruit cures diabetes permanently,0
NASA confirms flat earth theory true,0
Fake app claims earn money by clicking ads,0
Government to forgive all bank loans secretly,0
Online post claims vaccination causes infertility,0
Secret law passed to control population growth,0
Fake news claims schools closed forever,0
Drinking cow urine cures all diseases,0
Aliens found living under Himalayas says post,0
Fake message claims free laptops from government,0
Mobile phones listening to private conversations,0
Scientists say earth will split into two,0
Government giving free gold to married women,0
Fake message claims demonetization again tomorrow,0
Eating garlic cures heart attack instantly,0
Secret government chip inside new currency,0
NASA confirms time travel now possible,0
Fake news claims internet shutdown nationwide,0
WhatsApp forward says drink soda cures kidney stones,0
Government bans all private vehicles tomorrow,0
Fake investment doubles money in one day,0
Scientists confirm humans can live without sleep,0
Fake post claims new tax on breathing air,0
Government announces free iPhones to students,0
Aliens control weather says viral video,0
Drinking milk at night causes instant death,0
Fake news claims RBI abolishes banks,0
Secret society controls Indian economy,0
